id;address;new_address;match
39;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
40;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
41;VILLA DE LA STATION;VILLA DE LA STATION;True
42;RUE DE LA TERRASSE;RUE DE LA TERRASSE;True
43;ALLEE DES VIOLETTES;ALLEE DES VIOLETTES;True
44;BOULEVARD WASHINGTON;BOULEVARD WASHINGTON;True
45;RUE DU BEL AIR;RUE DU BEL AIR;True
46;RUE DES BARTOUX;RUE DES BARTOUX;True
47;RUE BEAUSEJOUR;RUE BEAUSEJOUR;True
48;AVENUE DE BELLEVUE;;False
49;RUE DE BELLEVUE;RUE DE BELLEVUE;True
50;AV PROFESSEUR LEON BERNARD;;False
51;RUE PAUL BERT;RUE PAUL BERT;True
52;RUE DES BOCHOUX;RUE DES BOCHOUX;True
53;RUE CLAUDE BURGOD;RUE CLAUDE BURGOD;True
54;RUE DU CALVAIRE;RUE DU CALVAIRE;True
55;IMPASSE DU CALVAIRE;;False
56;RUE HUBERT CHARPENTIER;RUE HUBERT CHARPENTIER;True
57;RUE DES CHENES;RUE DES CHENES;True
58;IMPASSE DES CHERCHEVETS;IMPASSE DES CHERCHEVETS;True
59;RUE DES CHERCHEVETS;RUE DES CHERCHEVETS;True
60;RUE DES CHEVREMONTS;RUE DES CHEVREMONTS;True
61;RUE EMILIEN COLIN;RUE EMILIEN COLIN;True
62;RUE DES COTTAGES;RUE DES COTTAGES;True
63;RUE JACQUES DECOUR;RUE JACQUES DECOUR;True
64;RUE MAURICE PAYRET DORTAIL;RUE MAURICE PAYRET DORTAIL;True
65;RUE GUILLEMETTE FAUSSART;RUE GUILLEMETTE FAUSSART;True
66;RUE DU FECHERAY;RUE DU FECHERAY;True
67;CARR DES PATRIOTES FUSILLES;;False
68;RUE HUCHE;RUE HUCHE;True
69;RUE VICTOR HUGO;RUE VICTOR HUGO;True
70;ALLEE DES JONQUILLES;ALLEE DES JONQUILLES;True
71;PLACE MARCEL LEGRAS;PLACE MARCEL LEGRAS;True
72;RUE GUILLAUME LENOIR;RUE GUILLAUME LENOIR;True
73;RUE LEROY;RUE LEROY;True
74;RUE DE LA LIBERTE;RUE DE LA LIBERTE;True
75;CHEMIN DE LA LIBERTE;CHEMIN DE LA LIBERTE;True
76;ALLEE DES MYOSOTIS;ALLEE DES MYOSOTIS;True
77;RUE DES PARECHAUX;RUE DES PARECHAUX;True
78;RUE DES PARIGOTS;RUE DES PARIGOTS;True
79;RUE DES PAVILLONS;RUE DES PAVILLONS;True
80;RUE GABRIEL PHILIPPE;RUE GABRIEL PHILIPPE;True
81;CHEMIN DES PONEYS;CHEMIN DES PONEYS;True
82;RTE DES FUSILLES DE LA RESIS;;False
83;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
84;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
85;VILLA DE LA STATION;VILLA DE LA STATION;True
86;RUE DE LA TERRASSE;RUE DE LA TERRASSE;True
87;ALLEE DES VIOLETTES;ALLEE DES VIOLETTES;True
88;BOULEVARD WASHINGTON;BOULEVARD WASHINGTON;True
89;RUE CURIE;RUE CURIE;True
90;RUE EMILE DUCLAUX;RUE EMILE DUCLAUX;True
91;RUE GUSTAVE FLOURENS;RUE GUSTAVE FLOURENS;True
92;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;True
93;PLACE DE KEIGHLEY;;False
94;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
95;RUE BENOIT MALON;RUE BENOIT MALON;True
96;RUE MICHELET;RUE MICHELET;True
97;RUE EDOUARD NIEUPORT;RUE EDOUARD NIEUPORT;True
98;RUE PAGES;RUE PAGES;True
99;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;True
100;RUE DU RATRAIT;RUE DU RATRAIT;True
101;RUE DU COMMANDANT RIVIERE;RUE DU COMMANDANT RIVIERE;True
102;RUE DES BAS ROGERS;RUE DES BAS ROGERS;True
103;AVENUE SISLEY;AVENUE SISLEY;True
104;RUE DE VERDUN;RUE DE VERDUN;True
105;RUE CURIE;RUE CURIE;True
106;RUE EMILE DUCLAUX;RUE EMILE DUCLAUX;True
107;RUE GUSTAVE FLOURENS;RUE GUSTAVE FLOURENS;True
108;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;True
109;PLACE DE KEIGHLEY;;False
110;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
111;RUE BENOIT MALON;RUE BENOIT MALON;True
112;RUE MICHELET;RUE MICHELET;True
113;RUE EDOUARD NIEUPORT;RUE EDOUARD NIEUPORT;True
114;RUE PAGES;RUE PAGES;True
115;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;True
116;RUE DU RATRAIT;RUE DU RATRAIT;True
117;RUE DU COMMANDANT RIVIERE;RUE DU COMMANDANT RIVIERE;True
118;RUE DES BAS ROGERS;RUE DES BAS ROGERS;True
119;AVENUE SISLEY;AVENUE SISLEY;True
120;RUE DE VERDUN;RUE DE VERDUN;True
121;RUE CARNOT;RUE CARNOT;True
122;RUE GAMBETTA;RUE GAMBETTA;True
123;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
124;RUE JEAN MACE;RUE JEAN MACE;True
125;RUE D ESTIENNE D ORVES;;False
126;RUE DES PUITS;RUE DES PUITS;True
127;RUE DE VERDUN;RUE DE VERDUN;True
128;RUE CARNOT;RUE CARNOT;True
129;RUE GAMBETTA;RUE GAMBETTA;True
130;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
131;RUE JEAN MACE;RUE JEAN MACE;True
132;RUE D ESTIENNE D ORVES;;False
133;RUE DES PUITS;RUE DES PUITS;True
134;RUE DE VERDUN;RUE DE VERDUN;True
135;QUAI GALLIENI;QUAI GALLIENI;True
136;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;True
