id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
2728;6;ALLEE DES RIVES DE BAGATELLE;6 ALLEE DES RIVES DE BAGATELLE;Maternelle Simone Veil;Elémentaire Jules Ferry
2729;10;RUE DU MONT VALERIEN;10 RUE DU MONT VALERIEN;Maternelle Simone Veil;Elémentaire Jules Ferry
2730;39;RUE DES BOURETS;39 RUE DES BOURETS;Maternelle Simone Veil;Elémentaire Jules Ferry
2731;22;RUE DES VIGNES;22 RUE DES VIGNES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2732;11;RUE DE VERDUN;11 RUE DE VERDUN;Maternelle Simone Veil;Elémentaire Jules Ferry
2733;21;RUE DE L' HIPPODROME;21 RUE DE L'HIPPODROME;Maternelle Simone Veil;
2734;18;RUE DU VAL D'OR;18 RUE DU VAL D'OR;Maternelle Edouard Vaillant;
2735;36;ALLEE DE LA PEPINIERE;36 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2736;65;RUE DE LA LIBERTE;65 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
2737;32;RUE DU FECHERAY;32 RUE DU FECHERAY;Maternelle des Cottages;Elémentaire des Cottages
2738;42;RUE ALBERT CARON;42 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2739;42;RUE DES BOURETS;42 RUE DES BOURETS;Maternelle Simone Veil;Elémentaire Jules Ferry
2740;34;AVENUE DE LA CRIOLLA;34 AVENUE DE LA CRIOLLA;Maternelle des Raguidelles;Elémentaire des Raguidelles
2741;16;ALLEE DES LILAS;16 ALLEE DES LILAS;Maternelle des Raguidelles;Elémentaire des Raguidelles
2742;63;AVENUE DES LANDES;63 AVENUE DES LANDES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2743;54;RUE DU VAL D'OR;54 RUE DU VAL D'OR;Maternelle Edouard Vaillant;
2744;14;RUE GEORGES APPAY;14 RUE GEORGES APPAY;Maternelle République;Elémentaire Parc
2745;91;RUE DES NOUVELLES;91 RUE DES NOUVELLES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2746;11;ALLEE DE LA PEPINIERE;11 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2747;76;RUE DES ACQUEVILLES;76 RUE DES ACQUEVILLES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2748;19;RUE FERNAND FOREST;19 RUE FERNAND FOREST;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2749;13;ALLEE DES PRIMEVERES;13 ALLEE DES PRIMEVERES;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
4327;22;RUE DANTON;22 RUE DANTON;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2750;19;RUE DES BARTOUX;19 RUE DES BARTOUX;Maternelle des Cottages;Elémentaire des Cottages
2751;9;ALLEE DE LA PEPINIERE;9 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2752;15;ALLEE DES JONQUILLES;15 ALLEE DES JONQUILLES;Maternelle des Cottages;Elémentaire des Cottages
2753;72;RUE DES BONS RAISINS;72 RUE DES BONS RAISINS;Maternelle des Raguidelles;Elémentaire des Raguidelles
2754;5;RUE DU TERTRE;5 RUE DU TERTRE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2755;2;RUE DE LA CERISAIE;2 RUE DE LA CERISAIE;Maternelle Simone Veil;Elémentaire Jules Ferry
2756;76;ALLEE DE LA PEPINIERE;76 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2757;7;ALLEE DES OLIVIERS;7 ALLEE DES OLIVIERS;Maternelle des Raguidelles;Elémentaire des Raguidelles
2758;20;RUE DE L' HIPPODROME;20 RUE DE L'HIPPODROME;Maternelle Simone Veil;
2759;50;RUE DES CARRIERES;50 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
2760;40;RUE DU DOCTEUR MARC BOMBIGER;40 RUE DU DOCTEUR MARC BOMBIGER;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2761;82;RUE DES CHENES;82 RUE DES CHENES;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2762;28;RUE DES MOULINEAUX;28 BIS RUE DES MOULINEAUX;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2763;5;RUE DES PAVILLONS;5 RUE DES PAVILLONS;Maternelle des Cottages;Elémentaire des Cottages
2764;18;ALLEE DE LA PEPINIERE;18 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
2765;13;ALLEE DES JONQUILLES;13 ALLEE DES JONQUILLES;Maternelle des Cottages;Elémentaire des Cottages
2766;3;RUE DE LA PASSERELLE;3 RUE DE LA PASSERELLE;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
